user_plan_id,plan_id,user_id,plan_name,plan_duration,buy_date_ist,start_date_ist,end_date_ist,Final Status,Final start date,Final End date
"218,243",15,1,OLD_6M Essential,180,"June 27, 2022",29 Jun 22,26 Dec 22,Dropped,29 Jun 22,29 Dec 22
"218,246",42,1,6M Essential (Renewal),180,"January 10, 2023",10 Jan 23,9 Jul 23,Dropped,10 Jan 23,10 Jul 23
"210,890",21,2,12M Essential,360,"July 6, 2022",07 Jul 22,02 Jul 23,Dropped,07 Jul 22,07 Jul 23
"451,185",94,2,EN Insight 1799,15,"June 6, 2026",06 Jun 26,20 Jun 26,Dropped,06 Jun 26,20 Jun 26
"209,109",21,3,12M Essential,360,"July 13, 2022",19 Jul 22,3 Aug 23,Dropped,19 Jul 22,19 Jul 23
"209,110",42,3,6M Essential (Renewal),180,"August 6, 2023",08 Aug 23,04 Feb 24,Dropped,06 Aug 23,06 Feb 24
"222,419",6,4,3M Essential,90,"July 14, 2022",16 Jul 22,14 Oct 22,Dropped,16 Jul 22,16 Oct 22
"222,423",25,4,1M Essential-Without BT(Renewal),30,"November 12, 2022",12 Nov 22,12 Dec 22,Dropped,12 Nov 22,12 Dec 22
"210,151",6,5,3M Essential,90,"July 15, 2022",24 Aug 22,22 Nov 22,Dropped,24 Aug 22,24 Nov 22
"225,657",6,6,3M Essential,90,"September 1, 2022",10 Sep 22,9 Dec 22,Dropped,10 Sep 22,10 Dec 22
"210,310",2,7,1M Essential,30,"October 4, 2022",07 Oct 22,06 Nov 22,Dropped,07 Oct 22,07 Nov 22
"222,724",2,8,1M Essential,30,"July 12, 2022",12 Jul 22,11 Aug 22,Refunded,19 Jul 22,18 Aug 22
"210,731",2,9,1M Essential,30,"October 12, 2022",17 Oct 22,16 Nov 22,Dropped,17 Oct 22,17 Nov 22
"210,732",25,9,1M Essential-Without BT(Renewal),30,"November 23, 2022",23 Nov 22,23 Dec 22,Dropped,23 Nov 22,23 Dec 22
"210,733",25,9,1M Essential-Without BT(Renewal),30,"January 3, 2023",03 Jan 23,13 Mar 23,Dropped,03 Jan 23,03 Feb 23
"211,601",2,10,1M Essential,30,"October 14, 2022",19 Oct 22,18 Nov 22,Dropped,19 Oct 22,19 Nov 22
"211,602",25,10,1M Essential-Without BT(Renewal),30,"December 18, 2022",18 Dec 22,17 Jan 23,Dropped,18 Dec 22,18 Jan 23
"208,635",2,11,1M Essential,30,"October 26, 2022",31 Oct 22,30 Nov 22,Dropped,31 Oct 22,01 Dec 22
"208,636",25,11,1M Essential-Without BT(Renewal),30,"November 25, 2022",1 Dec 22,31 Dec 22,Dropped,25 Nov 22,01 Jan 23
"208,637",25,11,1M Essential-Without BT(Renewal),30,"December 26, 2022",1 Jan 23,01 May 23,Dropped,26 Dec 22,01 Feb 23
"208,638",42,11,6M Essential (Renewal),180,"May 11, 2024",11 May 24,7 Nov 24,Dropped,11 May 24,11 Nov 24
"252,176",46,11,7M Essential (Renewal),210,"September 15, 2025",16 Sep 25,13 Apr 26,Dropped,16 Sep 25,14 Apr 26
"208,504",2,12,1M Essential,30,"November 4, 2022",09 Nov 22,04 Jan 23,Dropped,09 Nov 22,09 Dec 22
"208,505",25,12,1M Essential-Without BT(Renewal),30,"December 3, 2022",04 Jan 23,03 Feb 23,Dropped,03 Dec 22,09 Jan 23
"208,506",25,12,1M Essential-Without BT(Renewal),30,"January 3, 2023",04 Feb 23,06 Mar 23,Dropped,03 Jan 23,09 Feb 23
"208,507",25,12,1M Essential-Without BT(Renewal),30,"February 3, 2023",04 Mar 23,03 Apr 23,Dropped,03 Feb 23,09 Mar 23
"208,508",25,12,1M Essential-Without BT(Renewal),30,"March 4, 2023",04 Apr 23,04 May 23,Dropped,04 Mar 23,09 Apr 23
"208,509",25,12,1M Essential-Without BT(Renewal),30,"April 3, 2023",04 May 23,03 June 23,Dropped,03 Apr 23,09 May 23
"208,510",46,12,7M Essential (Renewal),210,"January 12, 2024",12 Jan 24,9 Aug 24,Dropped,12 Jan 24,12 Aug 24
"225,781",2,13,1M Essential,30,"November 12, 2022",17 Nov 22,17 Dec 22,Dropped,17 Nov 22,17 Dec 22
"225,783",32,13,3M Essential (Renewal),90,"December 19, 2022",19 Dec 22,9 May 23,Dropped,19 Dec 22,19 Mar 23
"225,785",42,13,6M Essential (Renewal),180,"February 1, 2024",01 Feb 24,30 Jul 24,Dropped,01 Feb 24,01 Aug 24
"209,219",15,14,OLD_6M Essential,180,"July 20, 2022",20 Jul 22,16 Jan 23,Active,20 Jul 22,16 Jan 23
"209,220",23,14,12M Precision Nutrition,365,"April 7, 2025",9 Apr 25,6 May 26,Active,14 Apr 25,14 Apr 26
"440,237",428,14,12M Diet Coaching +BT (Renewal),360,"May 4, 2026",07 May 26,01 May 27,Active,07 May 26,02 May 27
"220,930",15,15,OLD_6M Essential,180,"July 21, 2022",21 Jul 22,17 Jan 23,Refunded,28 Jul 22,24 Jan 23
"211,609",2,16,1M Essential,30,"July 27, 2022",27 Jul 22,26 Aug 22,Refunded,03 Aug 22,02 Sep 22
"224,067",2,17,1M Essential,30,"July 28, 2022",28 Jul 22,27 Aug 22,Refunded,04 Aug 22,03 Sep 22
"216,239",2,18,1M Essential,30,"November 17, 2022",21 Nov 22,21 Dec 22,Dropped,21 Nov 22,21 Dec 22
"225,878",2,19,1M Essential,30,"November 18, 2022",23 Nov 22,23 Dec 22,Dropped,23 Nov 22,23 Dec 22
"225,879",25,19,1M Essential-Without BT(Renewal),30,"December 22, 2022",23 Dec 22,22 Jan 23,Dropped,22 Dec 22,23 Jan 23
"225,881",32,19,3M Essential (Renewal),90,"January 31, 2024",31 Jan 24,14 May 24,Dropped,31 Jan 24,01 May 24
"223,546",2,20,1M Essential,30,"November 19, 2022",25 Nov 22,25 Dec 22,Dropped,25 Nov 22,25 Dec 22
"223,548",11,20,OLD_4M Allurion,120,"October 25, 2024",25 Oct 24,22 Feb 25,Dropped,01 Nov 24,01 Mar 25
"223,564",2,21,1M Essential,30,"November 22, 2022",28 Nov 22,28 Dec 22,Dropped,28 Nov 22,28 Dec 22
"223,565",6,21,3M Essential,90,"September 13, 2023",25 Sep 23,24 Dec 23,Dropped,20 Sep 23,19 Dec 23
